,ADAPT_COMM,ADVANCE$,ADVANCE_STEPS_COUNTER$,CFL_COMM,COMM,GHOSTFILL$,GHOSTFILL_AVERAGE,GHOSTFILL_COPY,GHOSTFILL_INTERP,GHOSTFILL_STEP1,GHOSTFILL_STEP2,GHOSTFILL_STEP3,GHOSTPATCH_BUILD,GHOSTPATCH_COMM,GRIDS_PER_PROC$,INIT,INTERIOR,LOCAL,LOCAL_BOUNDARY,LOCAL_BOUNDARY_RATIO,PARTITION,PARTITION_COMM,REGRID$,REMOTE_BOUNDARY,REMOTE_BOUNDARY_RATIO,WALLTIME,jobid,max,mi,min,mj,mx,nout,p,r0,rhoin,tfinal,MaxRSS,AveRSS
895,0.654342,21.297,8657,84.2728,9.83035,2.63228,0.120932,1.64324,0.0489984,0.820396,0.0134198,1.00939,0.273166,9.83035,1,0.000314116,0,0.557292,1,0.0078125,0.949186,0.949186,0.0497545,2,0.00282118,119.726,4284951,4,4,0,1,32,600,8,0.4,0.5,0.75,0.0,0.0
896,0.71697,156.552,227532,5.65989,43.3205,29.208,0.066905,22.8034,0.0456957,10.8601,0.638855,11.7434,2.95415,43.3205,12,0.000461347,1,10.8264,11,0.0844971,0.571106,0.571106,0.0954142,21,0.0485786,236.169,4284952,6,4,0,1,16,300,24,0.4,0.02,0.75,11071488.0,745472.0
897,0.295157,38.1611,16256,60.0245,4.77279,4.48395,0.0537315,3.04666,0.0236944,1.50495,0.0146369,1.64294,0.433959,4.77279,1,0.000620147,0,1.40885,1,0.00260417,0.202532,0.202532,0.0151156,4,0.00117187,107.971,4284953,4,4,0,1,32,600,8,0.3,0.02,0.75,380928.0,0.0
898,0.118755,0.565555,793,7.90772,0.209771,0.126318,0.00590804,0.0774323,0.0031221,0.038925,0.00277536,0.0494302,0.0121684,0.209771,0,0.000119127,0,0.177083,0,0.0104167,0.0847482,0.0847482,0.00107881,1,0.00520833,9.01705,4284954,3,4,0,1,16,300,8,0.3,0.02,0.75,2990080.0,38912.0
899,1.53973,3275.08,1392510,9.73668,316.98,316.964,0.566486,273.862,0.278735,116.262,42.2403,118.522,30.628,316.98,36,0.00423498,12,24.1224,24,0.513675,1.89672,1.89672,0.950359,32,0.38801,3923.46,4284955,6,4,0,1,32,600,8,0.3,0.02,0.75,30461952.0,1308672.0
900,1.20169,1093.44,464169,37.9164,253.502,135.541,0.192858,105.171,0.105732,50.5185,2.68543,53.0482,17.8704,253.502,12,0.00120035,1,10.7934,11,0.0930321,1.05613,1.05613,0.336666,21,0.0541852,1523.16,4284956,6,4,0,1,32,600,24,0.3,0.02,0.75,18767872.0,419840.0
901,0.118783,0.739553,1078,7.42314,0.222377,0.162068,0.00551549,0.103277,0.0029619,0.0515997,0.00250864,0.0626179,0.0155446,0.222377,0,0.000123755,0,0.359375,0,0.0,0.053665,0.053665,0.000909611,1,0.0,8.72353,4284957,3,4,0,1,16,300,8,0.4,0.02,0.75,0.0,0.0
902,1.16624,56.8037,75694,5.1151,73.4854,13.3768,0.776352,8.42513,0.372175,4.26365,0.0508049,5.42168,1.3909,73.4854,4,0.000521634,0,4.0625,4,0.0130208,1.58075,1.58075,0.151764,13,0.00459791,151.784,4284958,6,4,0,1,16,300,8,0.3,0.5,0.75,9027584.0,201728.0
903,0.419639,20.3768,29445,8.87173,2.94714,4.56556,0.0163861,3.13348,0.0112404,1.52221,0.0152331,1.67692,0.449114,2.94714,3,0.000225569,0,2.66319,3,0.00173611,0.359732,0.359732,0.00985317,9,0.00078125,37.562,4284959,5,4,0,1,16,300,24,0.4,0.02,0.75,0.0,0.0
904,0.358057,20.2252,29300,8.50356,2.40262,4.53214,0.0152398,3.11131,0.0106885,1.51127,0.0151504,1.66359,0.446146,2.40262,3,0.000213436,0,2.66319,3,0.00173611,0.331164,0.331164,0.0094299,8,0.00078125,36.3737,4284960,5,4,0,1,16,300,24,0.3,0.02,0.75,0.0,0.0
905,0.418382,12.3744,5419,87.0513,1.2748,1.46806,0.02031,0.991216,0.0102227,0.491555,0.0110063,0.53991,0.130312,1.2748,0,0.000228971,0,0.469618,0,0.000868056,0.248544,0.248544,0.00533082,1,0.000434028,102.85,4284961,4,4,0,1,32,600,24,0.3,0.02,0.75,2904064.0,8192.0
906,1.62618,229.342,89585,11.4867,207.658,31.5804,1.52419,20.1771,0.579652,10.5956,0.111286,11.805,5.00126,207.658,5,0.00375144,0,4.97396,5,0.00711806,2.4939,2.4939,0.776572,13,0.00338767,485.525,4252458,5,4,0,1,32,600,4,0.4,0.4,0.75,13459456.0,570368.0
